year,plot,n_shared,degree_rho,degree_p,strength_rho,strength_p,betweenness_rho,betweenness_p,eigenvector_rho,eigenvector_p,clustering_rho,clustering_p,degree_rho_M,degree_p_M,degree_rho_F,degree_p_F
2013,MSTO,96,0.6564,0.0,0.2294,0.0245,0.3405,0.0007,0.406,0.0,0.0073,0.9438,0.7057,0.0,0.5887,0.0
2013,SPRA,103,0.4849,0.0,0.1964,0.0468,0.2945,0.0025,,,0.2819,0.0039,0.5338,0.0001,0.4369,0.001
2014,MSTO,27,0.8344,0.0,0.6614,0.0002,0.2071,0.3,,,0.1047,0.6032,0.8038,0.0003,0.8577,0.0004
2014,SPRA,113,0.7158,0.0,0.7822,0.0,0.4444,0.0,,,0.6463,0.0,0.8044,0.0,0.6366,0.0
2015,MSTO,17,0.9879,0.0,0.4115,0.1008,0.9389,0.0,,,,,,,0.9781,0.0
2015,SPRA,88,0.8671,0.0,0.6224,0.0,0.7347,0.0,,,0.1279,0.2352,0.9323,0.0,0.7916,0.0
2015,LLOD,107,0.5956,0.0,0.0473,0.6288,0.2676,0.0053,,,-0.017,0.8621,0.6681,0.0,0.5379,0.0
2016,MSTO,45,0.4624,0.0014,0.2821,0.0604,0.4909,0.0006,0.3134,0.036,0.3576,0.0159,0.3432,0.1632,0.4934,0.0104
2016,SPRA,155,0.8327,0.0,0.6561,0.0,0.2664,0.0008,,,0.2017,0.0119,0.7869,0.0,0.8258,0.0
2016,LLOD,78,0.768,0.0,0.0866,0.4509,0.6955,0.0,,,-0.1157,0.3133,0.815,0.0,0.7038,0.0
2017,MSTO,38,0.6879,0.0,-0.253,0.1253,-0.0651,0.6979,-0.0026,0.9874,-0.213,0.1992,0.7429,0.0023,0.6346,0.0011
2017,SPRA,119,0.7983,0.0,0.5032,0.0,0.2125,0.0203,0.463,0.0,0.0886,0.3379,0.8243,0.0,0.7893,0.0
2017,LLOD,118,0.8838,0.0,0.4513,0.0,0.0966,0.2981,,,0.2999,0.001,0.8147,0.0,0.9078,0.0
