year,plot,period,n_pairs,n_associated,mean_wang,mean_sri,ols_slope,ols_r,ols_p,ols_r_assoc_only,ols_p_assoc_only,mantel_r,mantel_p
2013,MSTO,daytime,5253,760,0.0108,0.0934,0.17082,0.1154,0.0,-0.0243,0.5044,0.1154,0.001
2013,MSTO,nighttime,4753,124,0.0183,0.0078,0.021034,0.061,0.0,0.1491,0.0985,0.061,0.004
2013,SPRA,daytime,6441,737,0.0148,0.0774,0.099044,0.0715,0.0,-0.0155,0.6751,0.0715,0.001
2013,SPRA,nighttime,5460,105,0.0066,0.0101,0.037451,0.077,0.0,0.1731,0.0774,0.077,0.001
2014,MSTO,daytime,465,91,0.008,0.144,0.061159,0.0329,0.4787,0.1231,0.245,0.0329,0.619
2014,MSTO,nighttime,325,62,0.0024,0.097,0.045129,0.0348,0.5315,0.2749,0.0306,0.0348,0.708
2014,SPRA,daytime,6441,1202,-0.0022,0.1335,0.095027,0.052,0.0,-0.0768,0.0077,0.052,0.066
2014,SPRA,nighttime,6216,704,-0.0023,0.0685,0.082033,0.0647,0.0,-0.1702,0.0,0.0647,0.028
2015,MSTO,daytime,153,48,-0.017,0.1591,0.321208,0.2169,0.0071,0.3089,0.0326,0.2169,0.021
2015,MSTO,nighttime,120,1,-0.0361,0.0042,0.000596,0.0024,0.9789,,,0.0024,0.953
2015,SPRA,daytime,3486,1021,0.0185,0.1804,0.050222,0.029,0.0865,-0.0522,0.0954,0.029,0.433
2015,SPRA,nighttime,2926,705,0.0227,0.1123,0.029835,0.0233,0.2086,0.0071,0.8512,0.0233,0.594
2015,LLOD,daytime,6328,764,0.0033,0.0834,0.203864,0.1422,0.0,0.2132,0.0,0.1441,0.001
2015,LLOD,nighttime,5778,25,0.0037,0.0022,0.010824,0.0495,0.0002,0.422,0.0356,0.0502,0.004
2016,MSTO,daytime,1035,413,-0.019,0.2976,0.173112,0.0851,0.0062,0.1339,0.0064,0.0851,0.041
2016,MSTO,nighttime,1035,104,-0.0207,0.0716,0.243194,0.2125,0.0,0.0716,0.4698,0.2125,0.001
2016,SPRA,daytime,13041,5821,0.0223,0.3169,0.104499,0.0465,0.0,-0.0391,0.0028,0.0465,0.067
2016,SPRA,nighttime,11175,3463,0.0249,0.1613,0.157304,0.1,0.0,0.118,0.0,0.1,0.001
2016,LLOD,daytime,3321,837,-0.0185,0.1843,0.177307,0.0905,0.0,0.0657,0.0574,0.0905,0.003
2016,LLOD,nighttime,2701,142,-0.0184,0.0295,0.108235,0.1345,0.0,0.305,0.0002,0.1345,0.001
2017,MSTO,daytime,861,297,-0.0172,0.2209,0.104628,0.0542,0.112,-0.0112,0.8482,0.0542,0.377
2017,MSTO,nighttime,630,50,-0.0256,0.0285,-0.011709,-0.0171,0.6676,-0.1361,0.3461,-0.0171,0.706
2017,SPRA,daytime,6903,3649,0.023,0.3839,0.068256,0.029,0.016,-0.0179,0.28,0.029,0.398
2017,SPRA,nighttime,6903,2544,0.0232,0.2222,0.125013,0.0661,0.0,0.0386,0.0515,0.0661,0.032
2017,LLOD,daytime,7503,1230,0.0085,0.0942,0.041021,0.0272,0.0185,0.0807,0.0046,0.0272,0.165
2017,LLOD,nighttime,6903,278,0.0074,0.0236,0.057842,0.073,0.0,0.1662,0.0055,0.073,0.002
